Term,Category,Search_Pattern
Key risk indicator (KRI),Qualification Concept,KRI* OR key* risk* indicator*
Maladaptation,Qualification Concept,maladapt*
Performance curve,Qualification Concept,perform* curve* OR resilien* curve* OR bathtub* shape*
Residual Risk,Qualification Concept,residual* risk*
Resilience index,Qualification Concept,resilien* index* OR composit* indicator* OR composite* framework*
Resilience indicator,Qualification Concept,resilien* indicator*
Risk Tolerance / Risk Threshold,Qualification Concept,risk* toleran* OR risk* threshold* OR design* standard*
Risk curve,Qualification Concept,risk* curve* OR performance* degrad* summary*
Stranded assets,Qualification Concept,strand* asset*
Vulnerability,Qualification Concept,vulnerab* OR sensitiv* OR exposur*
Absorptive Capacity,Resilience Capacity,absorpt* capaci* OR capacity* to* absorb* OR static* econom* resilien*
Restorative capacity,Resilience Capacity,restorat* capaci* OR capacity* to* restore* OR rapid* recovery*
Economic resilience,Resilience Dimension,econom* resilien* OR financial* loss* minimi*
Organizational resilience,Resilience Dimension,organisat* resilien* OR organization* resilien* OR governance* resilien*
Social resilience,Resilience Dimension,social* resilien* OR communit* level* skill*
Technical resilience,Resilience Dimension,technic* resilien* OR technolog* resilien* OR TOSE* dimension*
Critical Infrastructure Protection,Resilience Theme,critic* infra* protect* OR CIP
Resilient Agrifood Systems,Resilience Theme,resilien* agri* OR climate* smart* agri*
Resilient Cities & Settlements,Resilience Theme,resilien* cit* OR urban* resilien*
Resilient Health,Resilience Theme,resilien* health* OR health* regular*
Resilient Industry & Commerce,Resilience Theme,resilien* industr* OR suppl* chain* resilien*
Resilient Infrastructure,Resilience Theme,resilien* infra*
Resilient Natural Systems,Resilience Theme,resilien* natur* OR ecosystem* based* adapt* OR EbA
Resilient Social Systems,Resilience Theme,resilien* social* OR communit* resilien*
Resilient Water Systems,Resilience Theme,resilien* water* OR water* secur* OR urban* drainag*
Decentralized Energy & Microgrids,Resilience Theme (Energy),micro*grid* OR decentrali* energy* OR distribut* energy* OR DER
Energy Storage & Backup,Resilience Theme (Energy),energy* storag* OR batter* storag* OR backup* generat*
Grid Resilience,Resilience Theme (Energy),grid* resilien* OR power* grid* moderni*
Climate-Resilient Transport Systems,Resilience Theme (Transport),climat* resilien* transport*
Pavement & Tarmac Resilience,Resilience Theme (Transport),pave* resilien* OR heat* resist* tarmac*
Port & Maritime Resilience,Resilience Theme (Transport),port* resilien* OR coastal* port* OR harbor* protect*
Rail & Track Resilience,Resilience Theme (Transport),rail* buckl* OR track* buckl* OR rail* thermal*
Anticipative capacity,System Attribute,anticipat* OR forecast* risk*
Asset Hardening,System Attribute,asset* harden* OR physical* harden* OR grid* harden*
Capacity to prepare,System Attribute,capaci* to* prepar* OR prepar* capaci* OR planning* capaci*
Design principles,System Attribute,design* principle* OR resilien* principle*
Diversity,System Attribute,divers* OR response* divers* OR equipment* divers* OR software* divers*
Flexibility / Modularity,System Attribute,flexib* asset* OR modul* design*
Graceful degradability,System Attribute,gracef* degrad* OR gracef* deteriorat* OR weak* robustness*
Graceful extensibility,System Attribute,gracef* extens* OR regime* of* performance* OR sustained* adapt*
Green Infrastructure,System Attribute,green* infra* OR blue* green* infra*
Hard resilience,System Attribute,hard* resilien* OR structural* quality* OR mechanical* quality*
Interoperability,System Attribute,interoperab*
Modularity,System Attribute,modul* OR compartmental* OR localized* capacity*
Nature-Based Solutions (NbS),System Attribute,nature* based* solution* OR NbS
Passive Survivability,System Attribute,passiv* surviv*
Rapidity,System Attribute,rapid* OR recovery* slope*
Recoverability,System Attribute,recoverab* OR repairab*
Redundancy,System Attribute,redundanc* OR backup* system*
Resourcefulness,System Attribute,resourceful* OR inherent* resilien* OR priority* decision*
Robustness,System Attribute,robust* design* OR structur* robust*
Situation awareness,System Attribute,situat* awareness* OR situational* awareness* OR recognize* cue*
Soft resilience,System Attribute,soft* resilien* OR human* need* behavior*
Transformation ability,System Attribute,transform* OR transformab* OR profound* change*
